arena_no,title,champion,verification_status,highlights,industry,category,speed,quality,security,cost,challenger,video_url
1,智能调研报告生成,私部署版：Claude Code + GLM 5 + Metaso,已验证,一周构建1个包含资料搜集、知识整合、报告生成功能的智能调研系统Demo,"信息技术, 金融贸易, 科研教育","服务, 运营, 管理",一周,较高,较高,较优,私部署版：Claude Code +Kimi K2.5/Minimax M2.5/Qwen 3.5 + Metaso,https://rwai-dev.oss-cn-shanghai.aliyuncs.com/1.mov
2,业务看板搭建,云端版：Lovable + Kimi K2.5 + Claude Code,已验证,0技术门槛1-2日内搭建出1个有基础互动能力的业务看板或网站Demo,通用,"服务, 运营, 营销",1~2天,很高,较低,较优,云端版：Lovable + GLM-5/Minimax M2.5/Qwen 3.5 + Claude Code,https://rwai-dev.oss-cn-shanghai.aliyuncs.com/2.mp4
3,文档审核与风控,私部署版：LangChain + GLM 5+ Pydantic + unstructured + Faiss,已验证,一周构建1个完整性检查与风险评估的文档解析系统Demo,"信息技术, 金融贸易, 能源制造, 行政管理","风控, 管理, 运营",一周,较高,较高,较优,私部署版：LangChain + Kimi K2.5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,
4,企业演示视频,私部署版：Claude Code + Claude Opus 4.6 + FFmpeg + FunASR + PaddleSpeech,已验证,最快2.5日内生成1个企业级产品或功能简要演示视频,"信息技术, 金融贸易, 科研教育","服务, 营销",1~2天,中等,较高,较优,私部署版：OpenClaw + Claude Opus 4.6  + FFmpeg + Qwen3-ASR + Qwen3-TTS,
5,儿童教育趣味应用,私部署版：BISHENG + GLM 5,已验证,一周搭建一个儿童教育应用Demo,"科研教育, 文化体育",服务,一周,中等,较高,较优,私部署版：BISHENG + Kimi K2.5/Minimax M2.5/Qwen 3.5,
6,长时间序列预测系统,私部署版：Autogluon + Neuralforecast + EMTSF,已验证,一周用低代码快速构建并验证一个面向能源领域的长时间序列预测系统Demo,能源制造,"运营, 风控",一周,中等,较高,较优,寻找攻擂者,
7,智能文档翻译系统,私部署版：Gemini CLI + Gemini 3.1 Pro,已验证,一周快速构建1个智能文档翻译Demo,通用,"服务, 运营, 管理",一周,中等,较高,较优,寻找攻擂者,
8,智能合同法审系统,私部署版：BISHENG,验证中,一天搭建出基于要素抽取与跨合同规则校验、可配置与溯源的智能合同法审系统Demo,金融贸易,风控,1~2天,中等,较高,较优,寻找攻擂者,
9,通用目标检测系统,私部署版：Ultralytics YOLO （YOLO 11）+ Triton + Perf Analyzer,验证中,一周构建1个高精度、含数据流闭环、具备自进化能力的通用目标检测系统Demo,"信息技术, 能源制造, 农林牧渔","运营, 管理, 风控",一周,中等,较高,较优,寻找攻擂者,
10,SQL语言智能生成,私部署版：XiYan-SQL（QwenCoder-32B）,验证中,快速搭建一个大模型，通过对话生成SQL脚本,信息技术,服务,一周,较高,较高,中等,私部署版：Agentar-Scale-SQL（Agentar-Scale-SQL-Generation-32B）,
11,功能推荐助手,私部署版：Coze + GLM 5,验证中,一周基于低代码构建一个具备主动追问与推荐能力的对话式助手Demo,"信息技术, 科研教育","服务, 运营",一周,较低,较高,较优,私部署版：Coze + Kimi K2.5/Minimax M2.5/Qwen 3.5,
12,智能信贷报告生成系统,私部署版：LangChain + GLM 5,验证中,一周低代码构建具备多源数据整合、合规校验、信贷报告一键生成能力的银行智能信贷系统Demo,金融贸易,"服务, 运营",一周,中等,较高,较优,私部署版：LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,
13,单条产业链图谱,私部署版：LangChain + GLM 5,验证中,一周低代码完成单条全国产业链图谱全流程构建,"金融贸易, 能源制造","服务, 运营",一周,中等,较高,较优,私部署版：LangChain + Kimi K2.5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,
